empresa_id,modelo_codigo,ordem,manobra_codigo,tripulante,status_classificacao,fonte_classificacao,observacoes,source
"6","A139-I-03/12","20","WAR-GER-27","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","21","CAU-HYP-77","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-03/12","22","OPS-NRM-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=18","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=18"
"6","A139-I-04/12","1","FLY-BAS-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","2","OPS-APP-X1","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","3","OPS-APP-X2","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","4","OPS-APP-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","5","OPS-NAV-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","6","OPS-NAV-X3","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","7","FLY-BAS-X4","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","8","WAR-OUT-15","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","9","FLY-BAS-17","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","10","CAU-FLO-73","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","11","WAR-LOW-29","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","12","WAR-HIG-29","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","13","CAU-HOT-65","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","14","OPS-NRM-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","15","OPS-NRM-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","16","CAU-LIC-60","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","17","WAR-STA-X1","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","18","CAU-ADC-48","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","19","CAU-GPS-52","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","20","CAU-FMS-51","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","21","FLY-BAS-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-04/12","22","OPS-NRM-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=19","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=19"
"6","A139-I-05/12","1","OPS-NAV-X2","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","2","FLY-BAS-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","3","OPS-APP-X1","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","4","OPS-APP-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","5","CAU-APO-38","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","6","OPS-NAV-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","7","OPS-NAV-X3","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","8","OPS-NAV-X4","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","9","OPS-APP-X2","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
"6","A139-I-05/12","10","FLY-BAS-X4","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=20","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=20"
