aeronave,modelo_sessao_codigo,modelo_sessao_nome,finalidade,ordem,manobra_codigo,manobra_nome,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa
AW139,A139-I-02/12,Voo Visual e Perfil Básico,INICIAL,14,A139-TRE-02B,Reentrada no circuito,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-02/12,Voo Visual e Perfil Básico,INICIAL,15,A139-NRM-03,Circuito de tráfego,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-02/12,Voo Visual e Perfil Básico,INICIAL,16,A139-TRE-01T,Pouso/decolagem com vento cruzado leve,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-02/12,Voo Visual e Perfil Básico,INICIAL,17,A139-TRE-01S,Taxi/deslocamento em solo e heliponto,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-02/12,Voo Visual e Perfil Básico,INICIAL,18,A139-TRE-01H,Estacionamento e corte pós-voo noturno,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,1,A139-PRC-02,Aplicação do QRH para caution noturna,PROCEDIMENTO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,2,CAU-DCG-53,Single DC GEN failure,ELETRICO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,3,CAU-BOF-55,Battery offline,ELETRICO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,4,CAU-DCB-56,DC bus failure,ELETRICO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,5,CAU-ACB-57,AC bus failure,ELETRICO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,6,CAU-28D-58,28V DC failure,ELETRICO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,7,CAU-ADS-46,ADS failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,8,CAU-AHR-47,AHRS failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,9,CAU-DUD-46,Display unit degraded,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,10,CAU-PFD-45,PFD failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,11,CAU-MFD-45,MFD failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,12,CAU-EIC-45,EICAS failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,13,CAU-ADC-48,ADC failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,14,CAU-GPS-52,GPS failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,15,CAU-FMS-51,FMS failure,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-03/12,"Sistema Elétrico, Barras, Geradores e Anormalidades Básicas",INICIAL,16,CAU-APO-38,AP OFF,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
